Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,0,Course Overview,../Ursinus-CS357-Overview,Written Assignment: Warmup Handed Out,Assignments/Warmup,15,,onpaper,,,,,,,,,,,,,,,,,,,,
0,1,Introduction: What is AI?,https://liascript.github.io/course/?https://github.com/BillJr99/Ursinus-CS357-Fall2025/blob/gh-pages/_pages/Activities/liascript-whatisai.md,,,,,,,,,,,,,,,,Mitchell Chapter 1,,"Boden Chapter 1, 2",,,,,,,
1,0,Introduction: What is AI?,,Written Assignment: Warmup Due,Assignments/Warmup,15,,onpaper,,,,,,,,,,,A Student Guide to AI,https://studentguidetoai.org/wp-content/uploads/2025/03/Student-Guide-to-AI-2025.pdf,,,,,,,,
1,1,How do Computers Learn?,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,How do Computers Learn?,,,,,,,,,,,,,,,,,"Mitchell Chapter 2, 6",,"Boden Chapter 11, 12",,,,,,,
2,1,What are the Risks? The Human in the Loop,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,What are the Risks? The Human in the Loop,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Human in the Loop Continued: What can AI do well?  What are its Limitations?,,,,,,,,,,,,,,,,,Mitchell Chapter 16,,"Boden Chapter 3, 4",,,,,,,
4,0,Human in the Loop Continued: What can AI do well?  What are its Limitations?,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Prompting,,,,,,,,,,,,,,,,,"Mitchell Chapter 11, 12",,Boden Chapter 15,,,,,,,
5,0,Prompting,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Personas,,,,,,,,,,,,,,,,,The Emerging Problem of AI Psychosis,https://www.psychologytoday.com/us/blog/urban-survival/202507/the-emerging-problem-of-ai-psychosis,,,,,,,,
6,0,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Document Retrieval,,,,,,,,,,,,,,,,,Mitchell Chapter 7,,Boden Chapter 10,,,,,,,
7,1,Bias,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,Bias,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Agentic Systems,,,,,,,,,,,,,,,,,"Mitchell Chapter 5, 8",,"Boden Chapter 8, 9",,,,,,,
9,0,Agentic Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Multimodal AI,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,AI Search,,,,,,,,,,,,,,,,,Mitchell Chapter 3,,Boden Chapter 5,,,,,,,
10,1,AI Search,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,Explainable AI,,,,,,,,,,,,,,,,,"Mitchell Chapter 9, 10",,Boden Chapter 6,,,,,,,
11,1,Explainable AI,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,Intellectual Property,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,AI for Operations,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,AI Strategy and Policy,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,AI Strategy and Policy,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,Review,,,,,,,,,,,,,,,,,,,,,,,,,,
