student_id,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,logins_last_14d,discussion_posts
S001,99,93,74,,55,47,3,2
S002,86,91,93,98,91,95,13,7
S003,41,60,69,82,85,81,7,5
S004,78,80,74,69,65,,6,0
S005,47,63,60,81,80,88,11,4
S006,90,90,92,83,86,86,11,8
S007,81,69,68,77,70,78,10,2
S008,73,81,78,71,73,82,11,5
S009,88,96,90,87,100,95,11,4
S010,,52,72,89,84,,1,0
S011,99,94,96,93,89,91,11,9
S012,84,81,72,85,83,67,10,3
S013,87,87,79,72,85,90,6,5
S014,79,72,86,71,83,78,10,4
S015,84,89,86,,61,40,6,1
S016,87,91,88,92,100,88,13,5
S017,95,84,77,,46,65,5,2
S018,62,25,76,,,,0,0
S019,,82,55,60,,,0,0
S020,89,100,87,92,100,94,14,9
S021,66,93,81,88,83,65,9,2
S022,,,,54,73,46,1,0
S023,75,81,49,,55,44,3,0
S024,53,55,69,87,84,79,8,4
S025,,61,73,82,93,93,8,3
S026,93,89,95,90,89,93,12,8
S027,90,91,70,83,57,88,11,4
S028,89,90,90,94,95,92,11,7
S029,81,82,65,83,57,,4,0
S030,72,88,86,84,90,82,11,2
S031,86,93,76,91,85,78,9,5
S032,86,91,88,76,81,77,7,2
S033,79,90,63,88,78,83,11,1
S034,98,92,92,100,90,96,11,8
S035,64,81,90,78,76,73,6,2
S036,75,76,84,74,88,75,7,5
S037,93,88,93,90,97,87,14,7
S038,88,96,100,86,98,80,12,9
S039,87,89,80,85,74,83,10,2
S040,93,90,99,96,93,89,11,4
